ID,NAME
2753,八方雲集
5706,鳳凰
8462,柏文
8940,新天地
9943,好樂迪
2801,彰銀
2809,京城銀
2812,台中銀
2816,旺旺保
2820,華票
2832,台產
2834,臺企銀
2836,高雄銀
2838,聯邦銀
2845,遠東銀
2849,安泰銀
2850,新產
2851,中再保
2852,第一保
2855,統一證
2867,三商壽
2880,華南金
2881,富邦金
2882,國泰金
2883,開發金
2884,玉山金
2885,元大金
2886,兆豐金
2887,台新金
2888,新光金
2889,國票金
2890,永豐金
2891,中信金
2892,第一金
2897,王道銀行
5876,上海商銀
5880,合庫金
6005,群益證
6024,群益期
2836A,高雄銀甲特
2838A,聯邦銀甲特
2881A,富邦特
2881B,富邦金乙特
2881C,富邦金丙特
2882A,國泰特
2882B,國泰金乙特
2883B,開發金乙特
2887E,台新戊特
2887F,台新戊特二
2888A,新光金甲特
2888B,新光金乙特
2891B,中信金乙特
2891C,中信金丙特
2897A,王道銀甲特
1432,大魯閣
2601,益航
2901,欣欣
2903,遠百
2905,三商
2906,高林
2908,特力
2910,統領
2911,麗嬰房
2912,統一超
2913,農林
2915,潤泰全
2929,淘帝-KY
2936,客思達-KY
2939,凱羿-KY
2945,三商家購
4807,日成-KY
5906,台南-KY
5907,大洋-KY
8429,金麗-KY
8443,阿瘦
8454,富邦媒
2616,山隆
6505,台塑化
8926,台汽電
9908,大台北
9918,欣天然
9926,新海
9931,欣高
9937,全國
9103,美德醫療-DR
9105,泰金寶-DR
9110,越南控-DR
9136,巨騰-DR
9188,精熙-DR
910322,康師傅-DR
910861,神州-DR
911608,明輝-DR
911622,泰聚亨-DR
911868,同方友友-DR
912000,晨訊科-DR
0050,元大台灣50
0051,元大中型100
0052,富邦科技
0053,元大電子
0054,元大台商50
0055,元大MSCI金融
0056,元大高股息
0057,富邦摩台
0061,元大寶滬深
0050N,元大台灣50估
0051N,元大中型100估
0052N,富邦科技估
0053N,元大電子估
0054N,元大台商50估
